start;end;orbit;sector;spacecraft_boresight_elat;spacecraft_boresight_elon;spacecraft_eroll;cam4_elat;cam4_elon;cam3_elat;cam3_elon;cam2_elat;cam2_elon;cam1_elat;cam1_elon;comment
2022-06-07;2022-06-20;113;53;54;343.5;0;90;343.5;66;343.5;42;343.5;18;343.5;
2022-06-20;2022-07-04;114;53;54;343.5;0;90;343.5;66;343.5;42;343.5;18;343.5;
2022-07-04;2022-07-18;115;54;54;11.2;0;90;11.2;66;11.2;42;11.2;18;11.2;
2022-07-18;2022-07-31;116;54;54;11.2;0;90;11.2;66;11.2;42;11.2;18;11.2;
2022-07-31;2022-08-14;117;55;54;38.9;0;90;38.9;66;38.9;42;38.9;18;38.9;
2022-08-14;2022-08-28;118;55;54;38.9;0;90;38.9;66;38.9;42;38.9;18;38.9;
2022-08-28;2022-09-10;119;56;54;66.6;0;90;66.6;66;66.6;42;66.6;18;66.6;
2022-09-10;2022-09-24;120;56;54;66.6;0;90;66.6;66;66.6;42;66.6;18;66.6;
2022-09-24;2022-10-08;121;57;54;94.3;0;90;94.3;66;94.3;42;94.3;18;94.3;end FY2022 is Sep 30, 2022. orbit 113 is last orbit of ExtMission1.
2022-10-08;2022-10-21;122;57;54;94.3;0;90;94.3;66;94.3;42;94.3;18;94.3;
